2000/01/01;09:00;GBP;H;Claimant Count Change (Dec);;-24.80K;;;-16.60K;
2000/01/01;09:00;GBP;H;CPI (YoY) (Dec);;1.10%;;;1.20%;
2000/01/01;09:00;GBP;H;BoE Interest Rate Decision (Dec);;5.50%;;;5.50%;
2000/01/01;09:00;GBP;H;Manufacturing Production (MoM) (Dec);;-0.70%;;;0.60%;
2000/01/01;09:00;GBP;H;Retail Sales (MoM) (Dec);;0.60%;;;0.70%;
2000/01/01;09:00;USD;H;CB Consumer Confidence (Dec);;141.70;;;137.00;
2000/01/01;09:00;USD;H;Core CPI (MoM) (Dec);;0.20%;;;0.20%;
2000/01/01;09:00;USD;H;Core Retail Sales (MoM) (Dec);;2.70%;;;0.70%;
2000/01/01;09:00;USD;H;Crude Oil Inventories (Dec);;-1.93M;;;-1.25M;
2000/01/01;09:00;USD;H;Existing Home Sales (Dec);;5.08M;;;5.09M;
2000/01/01;09:00;USD;H;ISM Manufacturing PMI (Dec);;57.80;;;58.10;
2000/01/01;09:00;USD;H;ISM Non-Manufacturing PMI (Dec);;56.90;;;54.90;
2000/01/01;09:00;USD;H;New Home Sales (Dec);;873.00K;;;863.00K;
2000/01/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Dec);;13.90;;;20.60;
2000/01/01;09:00;USD;H;Retail Sales (MoM) (Dec);;1.90%;;;1.20%;
2000/01/01;09:00;CAD;H;Core CPI (MoM) (Dec);;-0.20%;;;-0.10%;
2000/01/01;09:00;CAD;H;Core Retail Sales (MoM) (Dec);;1.10%;;;0.40%;
2000/01/01;09:00;CAD;H;Employment Change (Dec);;61.90K;;;34.70K;
2000/01/01;09:00;CAD;H;GDP (MoM) (Dec);;0.70%;;;0.80%;
2000/01/01;09:00;CAD;H;BoC Interest Rate Decision (Dec);;4.75%;;;4.75%;
2000/01/01;09:00;AUD;H;Employment Change (Dec);;28.10K;;;15.80K;
2000/01/01;09:00;AUD;H;RBA Interest Rate Decision (Dec);;5.00%;;;5.00%;
2000/01/01;09:00;AUD;H;Retail Sales (MoM) (Dec);;-0.40%;;;0.80%;
2000/01/01;09:00;NZD;H;RBNZ Interest Rate Decision (Dec);;5.00%;;;4.73%;
2000/01/01;09:00;EUR;H;CPI (YoY) (Dec);;1.70%;;;1.50%;
2000/01/01;09:00;EUR;H;ECB Interest Rate Decision (Dec);;3.00%;;;3.00%;
2000/01/01;12:30;USD;H;Unemployment Rate (Dec);;4%;;;4.1%;
2000/01/07;12:30;USD;H;Nonfarm Payrolls (Dec);;295K;;;292K;
2000/02/01;09:00;GBP;H;Claimant Count Change (Jan);;3.60K;;;-24.80K;
2000/02/01;09:00;GBP;H;CPI (YoY) (Jan);;0.80%;;;1.10%;
2000/02/01;09:00;GBP;H;BoE Interest Rate Decision (Jan);;5.75%;;;5.50%;
2000/02/01;09:00;GBP;H;Manufacturing Production (MoM) (Jan);;-0.40%;;;-0.70%;
2000/02/01;09:00;GBP;H;Retail Sales (MoM) (Jan);;2.20%;;;0.60%;
2000/02/01;09:00;USD;H;CB Consumer Confidence (Jan);;144.70;;;141.70;
2000/02/01;09:00;USD;H;Core CPI (MoM) (Jan);;0.30%;;;0.20%;
2000/02/01;09:00;USD;H;Core Retail Sales (MoM) (Jan);;-1.70%;;;2.70%;
2000/02/01;09:00;USD;H;Crude Oil Inventories (Jan);;-1.70M;;;-1.93M;
2000/02/01;09:00;USD;H;Existing Home Sales (Jan);;5.23M;;;5.08M;
2000/02/01;09:00;USD;H;ISM Manufacturing PMI (Jan);;56.70;;;57.80;
2000/02/01;09:00;USD;H;ISM Non-Manufacturing PMI (Jan);;56.60;;;56.90;
2000/02/01;09:00;USD;H;New Home Sales (Jan);;873.00K;;;873.00K;
2000/02/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Jan);;11.50;;;13.90;
2000/02/01;09:00;USD;H;Retail Sales (MoM) (Jan);;-0.70%;;;1.90%;
2000/02/01;09:00;CAD;H;Core CPI (MoM) (Jan);;-0.20%;;;-0.20%;
2000/02/01;09:00;CAD;H;Core Retail Sales (MoM) (Jan);;0.40%;;;1.10%;
2000/02/01;09:00;CAD;H;Employment Change (Jan);;41.40K;;;61.90K;
2000/02/01;09:00;CAD;H;GDP (MoM) (Jan);;0.50%;;;0.70%;
2000/02/01;09:00;CAD;H;BoC Interest Rate Decision (Jan);;4.75%;;;4.75%;
2000/02/01;09:00;AUD;H;Employment Change (Jan);;-44.60K;;;28.10K;
2000/02/01;09:00;AUD;H;RBA Interest Rate Decision (Jan);;5.00%;;;5.00%;
2000/02/01;09:00;AUD;H;Retail Sales (MoM) (Jan);;-0.50%;;;-0.40%;
2000/02/01;09:00;NZD;H;RBNZ Interest Rate Decision (Jan);;5.11%;;;5.00%;
2000/02/01;09:00;EUR;H;CPI (YoY) (Jan);;2.00%;;;1.70%;
2000/02/01;09:00;EUR;H;ECB Interest Rate Decision (Jan);;3.00%;;;3.00%;
2000/02/01;12:30;USD;H;Unemployment Rate (Jan);;4%;;;4%;
2000/02/02;18:00;USD;H;Fed Interest Rate Decision;;5.75%;;;5.50%;
2000/02/04;12:30;USD;H;Nonfarm Payrolls (Jan);;231K;;;295K;
2000/03/01;09:00;GBP;H;Claimant Count Change (Feb);;-10.70K;;;3.60K;
2000/03/01;09:00;GBP;H;CPI (YoY) (Feb);;0.90%;;;0.80%;
2000/03/01;09:00;GBP;H;BoE Interest Rate Decision (Feb);;6.00%;;;5.75%;
2000/03/01;09:00;GBP;H;Manufacturing Production (MoM) (Feb);;1.30%;;;-0.40%;
2000/03/01;09:00;GBP;H;Retail Sales (MoM) (Feb);;-1.80%;;;2.20%;
2000/03/01;09:00;USD;H;CB Consumer Confidence (Feb);;140.80;;;144.70;
2000/03/01;09:00;USD;H;Core CPI (MoM) (Feb);;0.10%;;;0.30%;
2000/03/01;09:00;USD;H;Core Retail Sales (MoM) (Feb);;1.30%;;;-1.70%;
2000/03/01;09:00;USD;H;Crude Oil Inventories (Feb);;1.08M;;;-1.70M;
